Benchmark                                                Mode  Cnt         Score         Error  Units
Crazy_old.crazy_90_percentage_1000_rec_stream            avgt   25     26978.617 ±     829.251  ns/op
Crazy_old.crazy_90_percentage_100_rec_collection         avgt   25      3101.945 ±      94.451  ns/op
Crazy_old.crazy_90_percentage_100_rec_sequence           avgt   25      3409.931 ±     139.652  ns/op
Crazy_old.crazy_90_percentage_100_rec_stream             avgt   25      2363.564 ±      80.444  ns/op
Crazy_old.crazy_90_percentage_50000_rec_collection       avgt   25   2577501.985 ±   87343.277  ns/op
Crazy_old.crazy_90_percentage_50000_rec_sequence         avgt   25   3038358.021 ±  127060.501  ns/op
Crazy_old.crazy_90_percentage_50000_rec_stream           avgt   25   6355830.662 ±  301999.466  ns/op
Distinct.distinct_10_percentage_100000_rec_collection    avgt   25   3283544.147 ±  356639.095  ns/op
Distinct.distinct_10_percentage_100000_rec_sequence      avgt   25   3423428.215 ±  335187.670  ns/op
Distinct.distinct_10_percentage_100000_rec_sequence_opt  avgt   25   3415625.766 ±  392996.422  ns/op
Distinct.distinct_10_percentage_100000_rec_stream        avgt   25   3063078.654 ±  343911.245  ns/op
Distinct.distinct_10_percentage_10000_rec_collection     avgt   25    159014.045 ±    5095.626  ns/op
Distinct.distinct_10_percentage_10000_rec_sequence       avgt   25    146183.730 ±    3585.342  ns/op
Distinct.distinct_10_percentage_10000_rec_sequence_opt   avgt   25    136722.067 ±    4226.431  ns/op
Distinct.distinct_10_percentage_10000_rec_stream         avgt   25    142401.425 ±    3529.635  ns/op
Distinct.distinct_10_percentage_1000_rec_collection      avgt   25     13719.448 ±     344.763  ns/op
Distinct.distinct_10_percentage_1000_rec_sequence        avgt   25     12145.361 ±     372.607  ns/op
Distinct.distinct_10_percentage_1000_rec_sequence_opt    avgt   25      9183.626 ±     263.872  ns/op
Distinct.distinct_10_percentage_1000_rec_stream          avgt   25     12017.342 ±     408.233  ns/op
Distinct.distinct_10_percentage_100_rec_collection       avgt   25      1188.607 ±      31.271  ns/op
Distinct.distinct_10_percentage_100_rec_sequence         avgt   25       927.368 ±      28.383  ns/op
Distinct.distinct_10_percentage_100_rec_sequence_opt     avgt   25       827.464 ±      22.981  ns/op
Distinct.distinct_10_percentage_100_rec_stream           avgt   25       966.045 ±      23.668  ns/op
Distinct.distinct_10_percentage_50000_rec_collection     avgt   25    909782.820 ±   39343.496  ns/op
Distinct.distinct_10_percentage_50000_rec_sequence       avgt   25    940922.747 ±   44625.837  ns/op
Distinct.distinct_10_percentage_50000_rec_sequence_opt   avgt   25    880523.275 ±   40665.736  ns/op
Distinct.distinct_10_percentage_50000_rec_stream         avgt   25    889821.824 ±   44336.778  ns/op
Distinct.distinct_90_percentage_100000_rec_collection    avgt   25  15933561.801 ±  922177.223  ns/op
Distinct.distinct_90_percentage_100000_rec_sequence      avgt   25  17389873.016 ± 1385143.561  ns/op
