Benchmark                                                Mode  Cnt         Score         Error  Units
Map3.map3_50000_rec_sequence                             avgt   25    708029.722 ±   27122.407  ns/op
Map3.map3_50000_rec_stream                               avgt   25    914027.041 ±   21083.771  ns/op
Map5.map5_100000_rec_collection                          avgt   25   3393753.021 ±  179121.112  ns/op
Map5.map5_100000_rec_sequence                            avgt   25   3221582.177 ±  248971.489  ns/op
Map5.map5_100000_rec_stream                              avgt   25   4312688.317 ±  157591.987  ns/op
Map5.map5_10000_rec_collection                           avgt   25    227449.265 ±    6620.956  ns/op
Map5.map5_10000_rec_sequence                             avgt   25    238020.197 ±    4735.581  ns/op
Map5.map5_10000_rec_stream                               avgt   25    301303.611 ±    7254.777  ns/op
Map5.map5_1000_rec_collection                            avgt   25     23679.732 ±     434.054  ns/op
Map5.map5_1000_rec_sequence                              avgt   25     24323.728 ±     544.664  ns/op
Map5.map5_1000_rec_stream                                avgt   25     27750.403 ±    1048.531  ns/op
Map5.map5_100_rec_collection                             avgt   25      1802.718 ±      33.807  ns/op
Map5.map5_100_rec_sequence                               avgt   25      2380.803 ±      58.881  ns/op
Map5.map5_100_rec_stream                                 avgt   25      2527.346 ±      66.118  ns/op
Map5.map5_50000_rec_collection                           avgt   25   1172296.406 ±   35626.063  ns/op
Map5.map5_50000_rec_sequence                             avgt   25   1220230.659 ±   49400.612  ns/op
Map5.map5_50000_rec_stream                               avgt   25   1465455.632 ±   47329.226  ns/op
Minus.minus_10_percentage_100000_rec_collection          avgt   25   2158443.052 ±  103519.013  ns/op
Minus.minus_10_percentage_100000_rec_sequence            avgt   25   1781494.071 ±   76136.953  ns/op
Minus.minus_10_percentage_100000_rec_stream              avgt   25   1489062.335 ±   56443.650  ns/op
Minus.minus_10_percentage_10000_rec_collection           avgt   25    164102.768 ±    5505.881  ns/op
Minus.minus_10_percentage_10000_rec_sequence             avgt   25    120862.666 ±    2170.963  ns/op
Minus.minus_10_percentage_10000_rec_stream               avgt   25     82345.278 ±    1435.976  ns/op
Minus.minus_10_percentage_1000_rec_collection            avgt   25     14283.438 ±     571.464  ns/op
Minus.minus_10_percentage_1000_rec_sequence              avgt   25      7634.844 ±     215.941  ns/op
Minus.minus_10_percentage_1000_rec_stream                avgt   25      6172.696 ±     176.310  ns/op
Minus.minus_10_percentage_100_rec_collection             avgt   25      1363.728 ±      37.378  ns/op
Minus.minus_10_percentage_100_rec_sequence               avgt   25       456.777 ±      17.402  ns/op
Minus.minus_10_percentage_100_rec_stream                 avgt   25       601.811 ±      18.469  ns/op
Minus.minus_10_percentage_50000_rec_collection           avgt   25    940477.128 ±   33231.804  ns/op
Minus.minus_10_percentage_50000_rec_sequence             avgt   25    724345.553 ±   16653.051  ns/op
Minus.minus_10_percentage_50000_rec_stream               avgt   25    620313.459 ±   15222.969  ns/op
Minus.minus_90_percentage_100000_rec_collection          avgt   25   4034577.540 ±  691517.322  ns/op
Minus.minus_90_percentage_100000_rec_sequence            avgt   25   7028039.279 ± 1402935.310  ns/op
Minus.minus_90_percentage_100000_rec_stream              avgt   25   3714798.360 ±  819955.048  ns/op
Minus.minus_90_percentage_10000_rec_collection           avgt   25    123195.217 ±    3999.066  ns/op
Minus.minus_90_percentage_10000_rec_sequence             avgt   25    112540.191 ±    2891.532  ns/op
Minus.minus_90_percentage_10000_rec_stream               avgt   25     75358.798 ±    2333.268  ns/op
Minus.minus_90_percentage_1000_rec_collection            avgt   25     10415.158 ±     247.059  ns/op
Minus.minus_90_percentage_1000_rec_sequence              avgt   25      5286.467 ±     125.476  ns/op
Minus.minus_90_percentage_1000_rec_stream                avgt   25      5351.642 ±     153.028  ns/op
Minus.minus_90_percentage_100_rec_collection             avgt   25       966.601 ±      29.184  ns/op
Minus.minus_90_percentage_100_rec_sequence               avgt   25       347.016 ±       8.919  ns/op
Minus.minus_90_percentage_100_rec_stream                 avgt   25       424.225 ±       9.007  ns/op
Minus.minus_90_percentage_50000_rec_collection           avgt   25    890602.634 ±  100124.843  ns/op
Minus.minus_90_percentage_50000_rec_sequence             avgt   25    854205.859 ±   41824.394  ns/op
Minus.minus_90_percentage_50000_rec_stream               avgt   25    667530.391 ±   25277.054  ns/op
Plus.plus_100000_rec_collection                          avgt   25   2977867.280 ±   92781.990  ns/op
Plus.plus_100000_rec_sequence                            avgt   25   1183401.155 ±   33452.422  ns/op
Plus.plus_100000_rec_sequence_opt                        avgt   25   1431047.927 ±   68468.288  ns/op
Plus.plus_100000_rec_stream                              avgt   25    950102.694 ±   29132.446  ns/op
Plus.plus_10000_rec_collection                           avgt   25    109326.492 ±    2714.259  ns/op
Plus.plus_10000_rec_sequence                             avgt   25    103697.405 ±    2727.219  ns/op
Plus.plus_10000_rec_sequence_opt                         avgt   25    121472.217 ±    2539.805  ns/op
Plus.plus_10000_rec_stream                               avgt   25     87118.036 ±    1540.130  ns/op
Plus.plus_1000_rec_collection                            avgt   25     11635.000 ±     279.821  ns/op
Plus.plus_1000_rec_sequence                              avgt   25     10452.191 ±     271.298  ns/op
Plus.plus_1000_rec_sequence_opt                          avgt   25     12707.832 ±     326.438  ns/op
Plus.plus_1000_rec_stream                                avgt   25      8479.872 ±     147.519  ns/op
Plus.plus_100_rec_collection                             avgt   25      1010.556 ±      20.598  ns/op
Plus.plus_100_rec_sequence                               avgt   25       958.463 ±      27.492  ns/op
Plus.plus_100_rec_sequence_opt                           avgt   25      1169.107 ±      27.266  ns/op
Plus.plus_100_rec_stream                                 avgt   25       823.953 ±      16.810  ns/op
Plus.plus_50000_rec_collection                           avgt   25    565922.442 ±   11365.056  ns/op
Plus.plus_50000_rec_sequence                             avgt   25    529877.893 ±   16473.753  ns/op
Plus.plus_50000_rec_sequence_opt                         avgt   25    708839.829 ±   17297.316  ns/op
Plus.plus_50000_rec_stream                               avgt   25    450269.509 ±   11796.676  ns/op
Reality.reality_100000_rec_collection                    avgt   25  18552013.421 ±  514161.633  ns/op
Reality.reality_100000_rec_sequence                      avgt   25  18129807.853 ±  418375.615  ns/op
Reality.reality_100000_rec_stream                        avgt   25  26365626.711 ±  858196.960  ns/op
Reality.reality_10000_rec_collection                     avgt   25   1284847.563 ±   33934.522  ns/op
Reality.reality_10000_rec_sequence                       avgt   25   1449705.692 ±   32974.736  ns/op
Reality.reality_10000_rec_stream                         avgt   25   2244380.241 ±   76303.049  ns/op
Reality.reality_1000_rec_collection                      avgt   25    145955.521 ±    3340.689  ns/op
Reality.reality_1000_rec_sequence                        avgt   25    160856.361 ±    4873.583  ns/op
Reality.reality_1000_rec_stream                          avgt   25    216782.510 ±    8503.850  ns/op
Reality.reality_100_rec_collection                       avgt   25     22296.396 ±     573.095  ns/op
Reality.reality_100_rec_sequence                         avgt   25     20264.963 ±     676.096  ns/op
Reality.reality_100_rec_stream                           avgt   25     23490.032 ±     639.058  ns/op
Reality.reality_50000_rec_collection                     avgt   25  12865849.470 ± 1610976.131  ns/op
Reality.reality_50000_rec_sequence                       avgt   25   8931064.876 ±  249196.593  ns/op
Reality.reality_50000_rec_stream                         avgt   25  13910249.691 ±  738341.989  ns/op
Sort.sort_100000_rec_collection                          avgt   25  16774240.045 ±  490891.823  ns/op
Sort.sort_100000_rec_sequence                            avgt   25  16909404.594 ±  347361.441  ns/op
Sort.sort_100000_rec_stream                              avgt   25  15896640.136 ±  413436.334  ns/op
Sort.sort_10000_rec_collection                           avgt   25    990922.455 ±   17612.065  ns/op
Sort.sort_10000_rec_sequence                             avgt   25   1094169.597 ±   20916.987  ns/op
Sort.sort_10000_rec_stream                               avgt   25   1036194.191 ±   21626.639  ns/op
Sort.sort_1000_rec_collection                            avgt   25     45976.513 ±    1523.200  ns/op
Sort.sort_1000_rec_sequence                              avgt   25     47229.592 ±     928.996  ns/op
Sort.sort_1000_rec_stream                                avgt   25     47131.612 ±    1518.181  ns/op
Sort.sort_100_rec_collection                             avgt   25      2858.273 ±      81.451  ns/op
Sort.sort_100_rec_sequence                               avgt   25      3176.093 ±      92.501  ns/op
Sort.sort_100_rec_stream                                 avgt   25      2878.240 ±     106.513  ns/op
Sort.sort_50000_rec_collection                           avgt   25   6742934.947 ±  183971.061  ns/op
Sort.sort_50000_rec_sequence                             avgt   25   7215491.256 ±  245615.421  ns/op
Sort.sort_50000_rec_stream                               avgt   25   7217989.709 ±  195737.072  ns/op
Take.take_10_percentage_100000_rec_collection            avgt   25    626100.732 ±   22256.511  ns/op
Take.take_10_percentage_100000_rec_sequence              avgt   25     68485.477 ±    1914.127  ns/op
Take.take_10_percentage_100000_rec_stream                avgt   25     96265.265 ±    2938.532  ns/op
Take.take_10_percentage_10000_rec_collection             avgt   25     60472.221 ±    1875.979  ns/op
Take.take_10_percentage_10000_rec_sequence               avgt   25      5792.955 ±     212.315  ns/op
Take.take_10_percentage_10000_rec_stream                 avgt   25      6808.334 ±     217.979  ns/op
Take.take_10_percentage_1000_rec_collection              avgt   25      5602.154 ±     166.248  ns/op
Take.take_10_percentage_1000_rec_sequence                avgt   25       499.998 ±      19.316  ns/op
Take.take_10_percentage_1000_rec_stream                  avgt   25       707.409 ±      19.295  ns/op
Take.take_10_percentage_100_rec_collection               avgt   25       455.678 ±      18.847  ns/op
Take.take_10_percentage_100_rec_sequence                 avgt   25        44.348 ±       1.799  ns/op
Take.take_10_percentage_100_rec_stream                   avgt   25       101.106 ±       3.125  ns/op
Take.take_10_percentage_50000_rec_collection             avgt   25    250024.197 ±   10705.421  ns/op
Take.take_10_percentage_50000_rec_sequence               avgt   25     28702.938 ±     863.386  ns/op
Take.take_10_percentage_50000_rec_stream                 avgt   25     38403.778 ±    1003.364  ns/op
Take.take_90_percentage_100000_rec_collection            avgt   25   1125084.975 ±   52215.463  ns/op
Take.take_90_percentage_100000_rec_sequence              avgt   25    637900.016 ±   37691.998  ns/op
Take.take_90_percentage_100000_rec_stream                avgt   25    725917.490 ±   31778.750  ns/op
Take.take_90_percentage_10000_rec_collection             avgt   25     99399.244 ±    1985.567  ns/op
Take.take_90_percentage_10000_rec_sequence               avgt   25     53356.572 ±    2383.276  ns/op
Take.take_90_percentage_10000_rec_stream                 avgt   25     65967.317 ±    1588.463  ns/op
Take.take_90_percentage_1000_rec_collection              avgt   25     10812.370 ±     268.657  ns/op
Take.take_90_percentage_1000_rec_sequence                avgt   25      4786.670 ±     150.676  ns/op
Take.take_90_percentage_1000_rec_stream                  avgt   25      5933.399 ±     107.892  ns/op
Take.take_90_percentage_100_rec_collection               avgt   25       901.285 ±      24.751  ns/op
Take.take_90_percentage_100_rec_sequence                 avgt   25       345.470 ±       9.033  ns/op
Take.take_90_percentage_100_rec_stream                   avgt   25       582.648 ±      21.882  ns/op
Take.take_90_percentage_50000_rec_collection             avgt   25    495509.537 ±   12991.038  ns/op
Take.take_90_percentage_50000_rec_sequence               avgt   25    251250.039 ±    9389.054  ns/op
Take.take_90_percentage_50000_rec_stream                 avgt   25    373886.369 ±    9101.972  ns/op
Zip.zip_100000_rec_collection                            avgt   25   1624855.308 ±   75172.143  ns/op
Zip.zip_100000_rec_sequence                              avgt   25   1188563.438 ±   48412.070  ns/op
Zip.zip_10000_rec_collection                             avgt   25    128482.790 ±    1954.587  ns/op
Zip.zip_10000_rec_sequence                               avgt   25     84030.445 ±    1472.793  ns/op
Zip.zip_1000_rec_collection                              avgt   25     13003.343 ±     324.087  ns/op
Zip.zip_1000_rec_sequence                                avgt   25      7955.422 ±     210.752  ns/op
Zip.zip_100_rec_collection                               avgt   25      1086.207 ±      38.527  ns/op
Zip.zip_100_rec_sequence                                 avgt   25       602.022 ±      12.621  ns/op
Zip.zip_50000_rec_collection                             avgt   25    651361.969 ±   14848.086  ns/op
Zip.zip_50000_rec_sequence                               avgt   25    419925.770 ±   10802.850  ns/op
